word1,word2,count,database_id,keyge1_id,keyge2_id,dataset_id,cword
ataxin,by,1,15,,,9,9-10244
ataxin,cl:2276,1,15,,,9,9-10245
ataxin,cl:2277,1,15,,,9,9-10246
ataxin,deadenylation-dependent,1,15,,,9,9-10247
ataxin,decay,2,15,,,9,9-10248
ataxin,domain,2,15,,,9,9-10249
ataxin,exoribonuclease,1,15,,,9,9-10250
ataxin,incl,1,15,,,9,9-10251
ataxin,mixed,1,15,,,9,9-10252
ataxin,mrna,2,15,,,9,9-10253
ataxin,sm,2,15,,,9,9-10254
ataxin,to,1,15,,,9,9-10255
ataxin1-like,bean1,1,15,,,9,9-10256
ataxin1-like,cl:9508,1,15,,,9,9-10257
ataxin1-like,cl:9509,1,15,,,9,9-10258
ataxin1-like,huntingtin,1,15,,,9,9-10259
ataxin1-like,incl,2,15,,,9,9-10260
ataxin1-like,mixed,2,15,,,9,9-10261
ataxin1-like,protein,1,15,,,9,9-10262
atf-like,basic,1,15,,,9,9-10263
atf-like,cl:6344,1,15,,,9,9-10264
atf-like,factor,1,15,,,9,9-10265
atf-like,incl,1,15,,,9,9-10266
atf-like,junb,1,15,,,9,9-10267
atf-like,leucine,1,15,,,9,9-10268
atf-like,mixed,1,15,,,9,9-10269
atf-like,transcription,1,15,,,9,9-10270
atf-like,transcriptional,1,15,,,9,9-10271
atf-like,zipper,1,15,,,9,9-10272
atf1,camp-dependent,1,15,,,9,9-10273
atf1,cl:7856,1,15,,,9,9-10274
atf1,factor,1,15,,,9,9-10275
atf1,h2a-s1,1,15,,,9,9-10276
atf1,histone,1,15,,,9,9-10277
atf1,incl,1,15,,,9,9-10278
atf1,mixed,1,15,,,9,9-10279
atf1,phosphorylation,1,15,,,9,9-10280
atf1,transcription,1,15,,,9,9-10281
atf6-mediated,cl:3192,1,15,,,9,9-10282
atf6-mediated,endoplasmic,1,15,,,9,9-10283
atf6-mediated,manganese-induced,1,15,,,9,9-10284
atf6-mediated,of,1,15,,,9,9-10285
atf6-mediated,protein,1,15,,,9,9-10286
atf6-mediated,regulation,1,15,,,9,9-10287
atf6-mediated,response,1,15,,,9,9-10288
atf6-mediated,reticulum,1,15,,,9,9-10289
atf6-mediated,stress,1,15,,,9,9-10290
atf6-mediated,to,1,15,,,9,9-10291
atf6-mediated,unfolded,1,15,,,9,9-10292
atg1,autophagy,1,15,,,9,9-10293
atg1,cl:9341,1,15,,,9,9-10294
atg1,complex,1,15,,,9,9-10295
atg1,kinase,1,15,,,9,9-10296
atg1,other,1,15,,,9,9-10297
atg1,ulk1,1,15,,,9,9-10298
atg8,autophagy,3,15,,,9,9-10299
atg8,cl:9338,1,15,,,9,9-10300
atg8,cl:9343,1,15,,,9,9-10301
atg8,cl:9346,1,15,,,9,9-10302
atg8,coronaviruses,1,15,,,9,9-10303
atg8,host-pathogen,1,15,,,9,9-10304
atg8,human,1,15,,,9,9-10305
atg8,interaction,1,15,,,9,9-10306
atg8,ligase,1,15,,,9,9-10307
atg8,like,2,15,,,9,9-10308
atg8,lysosomal,1,15,,,9,9-10309
atg8,microautophagy,1,15,,,9,9-10310
atg8,of,1,15,,,9,9-10311
atg8,protein,3,15,,,9,9-10312
atg8,ubiquitin,2,15,,,9,9-10313
atg8,ubiquitin-like,1,15,,,9,9-10314
atom,biosynthesis,1,15,,,9,9-10315
atom,cl:12701,1,15,,,9,9-10316
atom,cl:14536,1,15,,,9,9-10317
atom,donor,2,15,,,9,9-10318
atom,donors,2,15,,,9,9-10319
atom,flavin,1,15,,,9,9-10320
atom,flavoprotein,1,15,,,9,9-10321
atom,hormone,1,15,,,9,9-10322
atom,incorporation,2,15,,,9,9-10323
atom,iron-sulfur,1,15,,,9,9-10324
atom,molecular,2,15,,,9,9-10325
atom,of,2,15,,,9,9-10326
atom,on,2,15,,,9,9-10327
atom,one,2,15,,,9,9-10328
atom,osteonecrosis,1,15,,,9,9-10329
atom,oxidoreductase,2,15,,,9,9-10330
atom,oxygen,2,15,,,9,9-10331
atom,paired,2,15,,,9,9-10332
atom,protein,1,15,,,9,9-10333
atom,reduced,2,15,,,9,9-10334
atom,reduction,2,15,,,9,9-10335
atom,steroid,1,15,,,9,9-10336
atom,with,2,15,,,9,9-10337
atonal,cell,1,15,,,9,9-10338
atonal,cl:20585,1,15,,,9,9-10339
atonal,cl:20602,1,15,,,9,9-10340
atonal,corepressor,1,15,,,9,9-10341
atonal,differentiation,1,15,,,9,9-10342
atonal,homologue,2,15,,,9,9-10343
atonal,incl,2,15,,,9,9-10344
atonal,mixed,2,15,,,9,9-10345
atonal,protein,2,15,,,9,9-10346
atonal,ski,1,15,,,9,9-10347
atonal,transcriptional,1,15,,,9,9-10348
atp,by,4,15,,,9,9-10349
atp,chemiosmotic,4,15,,,9,9-10350
atp,cl:12619,1,15,,,9,9-10351
atp,cl:13334,1,15,,,9,9-10352
atp,cl:13341,1,15,,,9,9-10353
atp,cl:13494,1,15,,,9,9-10354
atp,cl:13498,1,15,,,9,9-10355
atp,cl:13502,1,15,,,9,9-10356
atp,cl:13504,1,15,,,9,9-10357
atp,cl:13506,1,15,,,9,9-10358
atp,cl:25203,1,15,,,9,9-10359
atp,complex,3,15,,,9,9-10360
atp,coupled,2,15,,,9,9-10361
atp,coupling,4,15,,,9,9-10362
atp,cytochrome,1,15,,,9,9-10363
atp,electron,2,15,,,9,9-10364
atp,formation,3,15,,,9,9-10365
atp,g,1,15,,,9,9-10366
atp,heat,1,15,,,9,9-10367
atp,incl,1,15,,,9,9-10368
atp,mitochondrial,3,15,,,9,9-10369
atp,mixed,1,15,,,9,9-10370
atp,of,4,15,,,9,9-10371
atp,p2x,1,15,,,9,9-10372
atp,phosphatase,1,15,,,9,9-10373
atp,production,1,15,,,9,9-10374
atp,protein-coupled,1,15,,,9,9-10375
atp,proteins,1,15,,,9,9-10376
atp,proton,1,15,,,9,9-10377
atp,proton-transporting,2,15,,,9,9-10378
atp,receptor,1,15,,,9,9-10379
atp,regulation,1,15,,,9,9-10380
atp,regulator,1,15,,,9,9-10381
atp,respiratory,1,15,,,9,9-10382
atp,synthase,2,15,,,9,9-10383
atp,synthesis,3,15,,,9,9-10384
atp,transport,3,15,,,9,9-10385
atp,uncoupling,1,15,,,9,9-10386
atp-binding,cassette,1,15,,,9,9-10387
atp-binding,cl:23503,1,15,,,9,9-10388
atp-binding,complex,1,15,,,9,9-10389
atp-binding,transporter,1,15,,,9,9-10390
atp-dependent,atpase,1,15,,,9,9-10391
atp-dependent,c-terminal,1,15,,,9,9-10392
atp-dependent,cl:13742,1,15,,,9,9-10393
atp-dependent,clp,1,15,,,9,9-10394
atp-dependent,incl,1,15,,,9,9-10395
atp-dependent,mixed,1,15,,,9,9-10396
atp-dependent,peptidase,1,15,,,9,9-10397
atp-grasp,canavan,1,15,,,9,9-10398
atp-grasp,cl:14776,1,15,,,9,9-10399
atp-grasp,cl:14778,1,15,,,9,9-10400
atp-grasp,disease,1,15,,,9,9-10401
atp-grasp,fold,2,15,,,9,9-10402
atp-grasp,incl,1,15,,,9,9-10403
atp-grasp,metabolism,1,15,,,9,9-10404
atp-grasp,mixed,1,15,,,9,9-10405
atp-grasp,rimk-type,2,15,,,9,9-10406
atp-hydrolyzing,checkpoint,1,15,,,9,9-10407
atp-hydrolyzing,cl:4898,1,15,,,9,9-10408
atp-hydrolyzing,complex,1,15,,,9,9-10409
atp-hydrolyzing,cut,1,15,,,9,9-10410
atp-hydrolyzing,dna,1,15,,,9,9-10411
atp-hydrolyzing,double,1,15,,,9,9-10412
atp-hydrolyzing,g2,1,15,,,9,9-10413
atp-hydrolyzing,ii,1,15,,,9,9-10414
atp-hydrolyzing,m,1,15,,,9,9-10415
atp-hydrolyzing,replication,1,15,,,9,9-10416
atp-hydrolyzing,strand,1,15,,,9,9-10417
atp-hydrolyzing,topoisomerase,1,15,,,9,9-10418
atp-hydrolyzing,type,1,15,,,9,9-10419
atp1g1,atpase,1,15,,,9,9-10420
atp1g1,cl:23481,1,15,,,9,9-10421
atp1g1,cl:23519,1,15,,,9,9-10422
atp1g1,complex,1,15,,,9,9-10423
atp1g1,dependent,1,15,,,9,9-10424
atp1g1,mat8,2,15,,,9,9-10425
atp1g1,plm,2,15,,,9,9-10426
atp1g1,transmembrane,1,15,,,9,9-10427
atp1g1,transport,1,15,,,9,9-10428
atp:adp,cl:13770,1,15,,,9,9-10429
atp:adp,eukaryotic,1,15,,,9,9-10430
atp:adp,incl,1,15,,,9,9-10431
atp:adp,mixed,1,15,,,9,9-10432
atp:adp,porin,1,15,,,9,9-10433
atp:adp,type,1,15,,,9,9-10434
atp:guanido,cl:17585,1,15,,,9,9-10435
atp:guanido,myoglobin,1,15,,,9,9-10436
atp:guanido,phosphotransferase,1,15,,,9,9-10437
atpase,by,1,15,,,9,9-10438
atpase,c-terminal,8,15,,,9,9-10439
atpase,ca,1,15,,,9,9-10440
atpase,cadherin,1,15,,,9,9-10441
atpase,cadherin-like,3,15,,,9,9-10442
atpase,calcium,1,15,,,9,9-10443
atpase,calcium-transporting,2,15,,,9,9-10444
atpase,catalytic,4,15,,,9,9-10445
atpase,catenin-binding,1,15,,,9,9-10446
atpase,cdc50,6,15,,,9,9-10447
atpase,centromeric,3,15,,,9,9-10448
atpase,channel,1,15,,,9,9-10449
atpase,chloroquine-resistance,1,15,,,9,9-10450
atpase,chromosome,3,15,,,9,9-10451
atpase,cl:13741,1,15,,,9,9-10452
atpase,cl:13742,1,15,,,9,9-10453
atpase,cl:15139,1,15,,,9,9-10454
atpase,cl:15340,1,15,,,9,9-10455
atpase,cl:17529,1,15,,,9,9-10456
atpase,cl:23479,1,15,,,9,9-10457
atpase,cl:23481,1,15,,,9,9-10458
atpase,cl:23483,1,15,,,9,9-10459
atpase,cl:23484,1,15,,,9,9-10460
atpase,cl:23539,1,15,,,9,9-10461
atpase,cl:28073,1,15,,,9,9-10462
atpase,cl:28168,1,15,,,9,9-10463
atpase,cl:28169,1,15,,,9,9-10464
atpase,cl:28170,1,15,,,9,9-10465
atpase,cl:28171,1,15,,,9,9-10466
atpase,cl:28173,1,15,,,9,9-10467
atpase,cl:28175,1,15,,,9,9-10468
atpase,cl:3123,1,15,,,9,9-10469
atpase,cl:3388,1,15,,,9,9-10470
atpase,cl:35623,1,15,,,9,9-10471
atpase,cl:35624,1,15,,,9,9-10472
atpase,cl:35625,1,15,,,9,9-10473
atpase,cl:35626,1,15,,,9,9-10474
atpase,cl:4850,1,15,,,9,9-10475
atpase,cl:4853,1,15,,,9,9-10476
atpase,cl:4854,1,15,,,9,9-10477
atpase,cl:9050,1,15,,,9,9-10478
atpase,cl:9053,1,15,,,9,9-10479
atpase,cl:9062,1,15,,,9,9-10480
atpase,cl:9066,1,15,,,9,9-10481
atpase,cl:9161,1,15,,,9,9-10482
atpase,clp,2,15,,,9,9-10483
atpase,complex,7,15,,,9,9-10484
atpase,concentration,1,15,,,9,9-10485
atpase,condensed,3,15,,,9,9-10486
atpase,crt-like,1,15,,,9,9-10487
atpase,cytosolic,2,15,,,9,9-10488
atpase,dependent,3,15,,,9,9-10489
atpase,domain,5,15,,,9,9-10490
atpase,domain-containing,1,15,,,9,9-10491
atpase,dyslexia,1,15,,,9,9-10492
atpase,exchanger,1,15,,,9,9-10493
atpase,exchanging,1,15,,,9,9-10494
atpase,gated,1,15,,,9,9-10495
atpase,host,1,15,,,9,9-10496
atpase,hsp90,1,15,,,9,9-10497
atpase,ic,1,15,,,9,9-10498
atpase,iia,1,15,,,9,9-10499
atpase,ik,1,15,,,9,9-10500
atpase,in,1,15,,,9,9-10501
atpase,incl,14,15,,,9,9-10502
atpase,involved,1,15,,,9,9-10503
atpase,ion,1,15,,,9,9-10504
atpase,kinesin,3,15,,,9,9-10505
atpase,lem3,6,15,,,9,9-10506
atpase,levels,1,15,,,9,9-10507
atpase,mat8,1,15,,,9,9-10508
atpase,mechanism,1,15,,,9,9-10509
atpase,melancholia,1,15,,,9,9-10510
atpase,member,1,15,,,9,9-10511
atpase,mixed,14,15,,,9,9-10512
atpase,motor,3,15,,,9,9-10513
atpase,mtorc1,1,15,,,9,9-10514
atpase,of,4,15,,,9,9-10515
atpase,p-type,6,15,,,9,9-10516
atpase,paat-like,4,15,,,9,9-10517
atpase,peptidase,1,15,,,9,9-10518
atpase,phospholipid-transporting,2,15,,,9,9-10519
atpase,plm,1,15,,,9,9-10520
atpase,positive,1,15,,,9,9-10521
atpase,potassium:proton,1,15,,,9,9-10522
atpase,presynaptic,1,15,,,9,9-10523
atpase,processing,1,15,,,9,9-10524
atpase,protein,2,15,,,9,9-10525
atpase,proton-transporting,4,15,,,9,9-10526
atpase,reduction,1,15,,,9,9-10527
atpase,region,3,15,,,9,9-10528
atpase,regulate,1,15,,,9,9-10529
atpase,regulation,2,15,,,9,9-10530
atpase,rotational,1,15,,,9,9-10531
atpase,sarcolipin,1,15,,,9,9-10532
atpase,serca-type,1,15,,,9,9-10533
atpase,smdt1,1,15,,,9,9-10534
atpase,sodium,2,15,,,9,9-10535
atpase,sodium:potassium-exchanging,1,15,,,9,9-10536
atpase,subfamily,1,15,,,9,9-10537
atpase,subunit,1,15,,,9,9-10538
atpase,symbiont,1,15,,,9,9-10539
atpase,transmembrane,3,15,,,9,9-10540
atpase,transport,3,15,,,9,9-10541
atpase,transporter-like,1,15,,,9,9-10542
atpase,type,1,15,,,9,9-10543
atpase,v-type,3,15,,,9,9-10544
atpase,v1,1,15,,,9,9-10545
atpase,vcp-npl4-ufd1,1,15,,,9,9-10546
atpase,voltage,1,15,,,9,9-10547
atr,cl:5356,1,15,,,9,9-10548
atr,cl:5359,1,15,,,9,9-10549
atr,claspin,1,15,,,9,9-10550
atr,signaling,2,15,,,9,9-10551
atresia,cl:22943,1,15,,,9,9-10552
atresia,cl:9721,1,15,,,9,9-10553
atresia,esophageal,1,15,,,9,9-10554
atresia,fistula,1,15,,,9,9-10555
atresia,incl,2,15,,,9,9-10556
atresia,intestinal,1,15,,,9,9-10557
atresia,mixed,2,15,,,9,9-10558
atresia,multiple,1,15,,,9,9-10559
atresia,protein,2,15,,,9,9-10560
atresia,tracheoesophageal,1,15,,,9,9-10561
atresia,transmembrane,2,15,,,9,9-10562
atrial,cl:26939,1,15,,,9,9-10563
atrial,defect,1,15,,,9,9-10564
atrial,false,1,15,,,9,9-10565
atrial,heart,1,15,,,9,9-10566
atrial,incl,1,15,,,9,9-10567
atrial,mixed,1,15,,,9,9-10568
atrial,passage,1,15,,,9,9-10569
atrial,septal,1,15,,,9,9-10570
atrial,urethral,1,15,,,9,9-10571
atrophin-1,cl:4378,1,15,,,9,9-10572
atrophin-1,incl,1,15,,,9,9-10573
atrophin-1,maf1,1,15,,,9,9-10574
atrophin-1,mixed,1,15,,,9,9-10575
atrophin-1,regulator,1,15,,,9,9-10576
atrophin-like,cl:30476,1,15,,,9,9-10577
atrophin-like,domain,1,15,,,9,9-10578
atrophin-like,incl,1,15,,,9,9-10579
atrophin-like,mixed,1,15,,,9,9-10580
atrophin-like,sh3,1,15,,,9,9-10581
atrophin-like,ubash3a,1,15,,,9,9-10582
atrophy,cl:9449,1,15,,,9,9-10583
atrophy,cl:9450,1,15,,,9,9-10584
atrophy,cl:9452,1,15,,,9,9-10585
atrophy,establishment,1,15,,,9,9-10586
atrophy,incl,3,15,,,9,9-10587
atrophy,localization,1,15,,,9,9-10588
atrophy,lysosome,2,15,,,9,9-10589
atrophy,mitochondrion,3,15,,,9,9-10590
atrophy,mixed,3,15,,,9,9-10591
atrophy,of,1,15,,,9,9-10592
atrophy,optic,3,15,,,9,9-10593
atrophy,to,2,15,,,9,9-10594
atrophy,transport,2,15,,,9,9-10595
attachment,cl:27884,1,15,,,9,9-10596
attachment,cl:8096,1,15,,,9,9-10597
attachment,cl:9018,1,15,,,9,9-10598
attachment,cl:9019,1,15,,,9,9-10599
attachment,gpi,1,15,,,9,9-10600
attachment,in,1,15,,,9,9-10601
attachment,incl,2,15,,,9,9-10602
attachment,interactions,1,15,,,9,9-10603
attachment,mannose-ethanolamine,1,15,,,9,9-10604
attachment,mixed,2,15,,,9,9-10605
attachment,nsf,3,15,,,9,9-10606
attachment,of,1,15,,,9,9-10607
attachment,phosphotransferase,1,15,,,9,9-10608
attachment,protein,4,15,,,9,9-10609
attachment,rab15,1,15,,,9,9-10610
attachment,rab24,1,15,,,9,9-10611
attachment,snap,2,15,,,9,9-10612
attachment,snare,1,15,,,9,9-10613
attachment,soluble,2,15,,,9,9-10614
attachment,to,1,15,,,9,9-10615
attachment,transport,1,15,,,9,9-10616
attachment,vesicular,1,15,,,9,9-10617
attack,cl:20049,1,15,,,9,9-10618
attack,complex,1,15,,,9,9-10619
attack,membrane,1,15,,,9,9-10620
attenuator,b-,1,15,,,9,9-10621
attenuator,cl:19269,1,15,,,9,9-10622
attenuator,immune,1,15,,,9,9-10623
attenuator,incl,1,15,,,9,9-10624
attenuator,memory,1,15,,,9,9-10625
attenuator,mixed,1,15,,,9,9-10626
attenuator,negative,1,15,,,9,9-10627
attenuator,of,1,15,,,9,9-10628
attenuator,regulation,1,15,,,9,9-10629
attenuator,response,1,15,,,9,9-10630
attenuator,t-lymphocyte,1,15,,,9,9-10631
atypical,c-terminal,1,15,,,9,9-10632
atypical,caspase,1,15,,,9,9-10633
atypical,chemokine,1,15,,,9,9-10634
atypical,cl:18419,1,15,,,9,9-10635
atypical,cl:19365,1,15,,,9,9-10636
atypical,cl:2146,1,15,,,9,9-10637
atypical,cl:26001,1,15,,,9,9-10638
atypical,class,1,15,,,9,9-10639
atypical,creatine,1,15,,,9,9-10640
atypical,deficiency,1,15,,,9,9-10641
atypical,domain,1,15,,,9,9-10642
atypical,dual,1,15,,,9,9-10643
atypical,exportin-2,1,15,,,9,9-10644
atypical,ii,1,15,,,9,9-10645
atypical,incl,1,15,,,9,9-10646
atypical,mhc,1,15,,,9,9-10647
atypical,mixed,1,15,,,9,9-10648
atypical,nlrc5,1,15,,,9,9-10649
atypical,phosphatase,1,15,,,9,9-10650
atypical,receptor,1,15,,,9,9-10651
atypical,recruitment,1,15,,,9,9-10652
atypical,repeat,1,15,,,9,9-10653
atypical,specificity,1,15,,,9,9-10654
atypical,subfamily,1,15,,,9,9-10655
atypical,syndrome,1,15,,,9,9-10656
atypical,transmembrane,1,15,,,9,9-10657
atypical,transport,1,15,,,9,9-10658
atypical,whim,1,15,,,9,9-10659
auditory,cl:11336,1,15,,,9,9-10660
auditory,cl:11337,1,15,,,9,9-10661
auditory,cl:11338,1,15,,,9,9-10662
auditory,cl:11342,1,15,,,9,9-10663
auditory,death,1,15,,,9,9-10664
auditory,domain-containing,1,15,,,9,9-10665
auditory,incl,4,15,,,9,9-10666
auditory,mixed,1,15,,,9,9-10667
auditory,mostly,3,15,,,9,9-10668
auditory,protein,4,15,,,9,9-10669
auditory,repeat,1,15,,,9,9-10670
auditory,transmembrane,3,15,,,9,9-10671
auditory,uncharacterized,3,15,,,9,9-10672
augurin,cell,1,15,,,9,9-10673
augurin,cl:38658,1,15,,,9,9-10674
augurin,cl:38678,1,15,,,9,9-10675
augurin,cycle,1,15,,,9,9-10676
augurin,incl,2,15,,,9,9-10677
augurin,lbh,1,15,,,9,9-10678
augurin,mixed,1,15,,,9,9-10679
augurin,mostly,1,15,,,9,9-10680
augurin,of,1,15,,,9,9-10681
augurin,protein,1,15,,,9,9-10682
augurin,regulator,1,15,,,9,9-10683
augurin,rgcc,1,15,,,9,9-10684
augurin,uncharacterized,1,15,,,9,9-10685
autism,ccdc85,1,15,,,9,9-10686
autism,cl:35531,1,15,,,9,9-10687
autism,cl:35532,1,15,,,9,9-10688
autism,cl:35533,1,15,,,9,9-10689
autism,gene,3,15,,,9,9-10690
autism,incl,3,15,,,9,9-10691
autism,mixed,1,15,,,9,9-10692
autism,mostly,2,15,,,9,9-10693
autism,proline-rich,2,15,,,9,9-10694
autism,protein,3,15,,,9,9-10695
autism,susceptibility,3,15,,,9,9-10696
autism,uncharacterized,2,15,,,9,9-10697
auto-adp-ribosylation,cl:25409,1,15,,,9,9-10698
auto-adp-ribosylation,protein,1,15,,,9,9-10699
autoantigen,cell,2,15,,,9,9-10700
autoantigen,cl:29268,1,15,,,9,9-10701
autoantigen,cl:35021,1,15,,,9,9-10702
autoantigen,cl:35023,1,15,,,9,9-10703
autoantigen,domain,2,15,,,9,9-10704
autoantigen,domain-binding,1,15,,,9,9-10705
autoantigen,eh,1,15,,,9,9-10706
autoantigen,incl,2,15,,,9,9-10707
autoantigen,islet,2,15,,,9,9-10708
autoantigen,mixed,2,15,,,9,9-10709
autoantigen,ph,2,15,,,9,9-10710
autoantigen,protein,1,15,,,9,9-10711
autoantigen,scleroderma,1,15,,,9,9-10712
autoantigen,sjoegren,1,15,,,9,9-10713
autoantigen,syndrome,1,15,,,9,9-10714
autoinflammatory,cd47,2,15,,,9,9-10715
autoinflammatory,cl:33952,1,15,,,9,9-10716
autoinflammatory,cl:33953,1,15,,,9,9-10717
autoinflammatory,cold,2,15,,,9,9-10718
autoinflammatory,familial,2,15,,,9,9-10719
autoinflammatory,incl,2,15,,,9,9-10720
autoinflammatory,mixed,2,15,,,9,9-10721
autoinflammatory,syndrome,2,15,,,9,9-10722
autoinflammatory,transmembrane,2,15,,,9,9-10723
autointegration,barrier,1,15,,,9,9-10724
autointegration,cl:7229,1,15,,,9,9-10725
autointegration,factor,1,15,,,9,9-10726
autointegration,incl,1,15,,,9,9-10727
autointegration,mixed,1,15,,,9,9-10728
autointegration,retroelement,1,15,,,9,9-10729
autointegration,silencing,1,15,,,9,9-10730
autointegration,to,1,15,,,9,9-10731
autophagosome,autophagy,2,15,,,9,9-10732
autophagosome,by,1,15,,,9,9-10733
autophagosome,cl:21310,1,15,,,9,9-10734
autophagosome,cl:9325,1,15,,,9,9-10735
autophagosome,cl:9326,1,15,,,9,9-10736
autophagosome,dwarfin,1,15,,,9,9-10737
autophagosome,engulfment,1,15,,,9,9-10738
autophagosome,incl,1,15,,,9,9-10739
autophagosome,membrane,2,15,,,9,9-10740
autophagosome,mixed,1,15,,,9,9-10741
autophagosome,of,1,15,,,9,9-10742
autophagosome,other,2,15,,,9,9-10743
autophagosome,target,1,15,,,9,9-10744
autophagosome-endosome,cl:27013,1,15,,,9,9-10745
autophagosome-endosome,expression,1,15,,,9,9-10746
autophagosome-endosome,fusion,1,15,,,9,9-10747
autophagosome-endosome,incl,1,15,,,9,9-10748
autophagosome-endosome,limb,1,15,,,9,9-10749
autophagosome-endosome,mixed,1,15,,,9,9-10750
autophagy,cl:8079,1,15,,,9,9-10751
autophagy,cl:8080,1,15,,,9,9-10752
autophagy,cl:9323,1,15,,,9,9-10753
autophagy,cl:9324,1,15,,,9,9-10754
autophagy,cl:9325,1,15,,,9,9-10755
autophagy,cl:9326,1,15,,,9,9-10756
autophagy,cl:9328,1,15,,,9,9-10757
autophagy,cl:9333,1,15,,,9,9-10758
autophagy,cl:9335,1,15,,,9,9-10759
autophagy,cl:9338,1,15,,,9,9-10760
autophagy,cl:9341,1,15,,,9,9-10761
autophagy,cl:9343,1,15,,,9,9-10762
autophagy,cl:9346,1,15,,,9,9-10763
autophagy,complex,1,15,,,9,9-10764
autophagy,coronaviruses,1,15,,,9,9-10765
autophagy,disassembly,2,15,,,9,9-10766
autophagy,host-pathogen,1,15,,,9,9-10767
autophagy,human,1,15,,,9,9-10768
autophagy,incl,5,15,,,9,9-10769
autophagy,interaction,1,15,,,9,9-10770
autophagy,kinase,1,15,,,9,9-10771
autophagy,ligase,1,15,,,9,9-10772
autophagy,like,2,15,,,9,9-10773
autophagy,lysosomal,1,15,,,9,9-10774
autophagy,membrane,4,15,,,9,9-10775
autophagy,microautophagy,1,15,,,9,9-10776
autophagy,mitochondrion,2,15,,,9,9-10777
autophagy,mitophagy,3,15,,,9,9-10778
autophagy,mixed,5,15,,,9,9-10779
autophagy,of,2,15,,,9,9-10780
autophagy,other,6,15,,,9,9-10781
autophagy,protein,3,15,,,9,9-10782
autophagy,regulation,1,15,,,9,9-10783
autophagy,trafficking,2,15,,,9,9-10784
autophagy,ubiquitin,2,15,,,9,9-10785
autophagy,ubiquitin-like,1,15,,,9,9-10786
autophagy,ulk1,1,15,,,9,9-10787
autophagy-related,cl:9367,1,15,,,9,9-10788
autophagy-related,class,1,15,,,9,9-10789
autophagy-related,complex,1,15,,,9,9-10790
autophagy-related,i,1,15,,,9,9-10791
autophagy-related,iii,1,15,,,9,9-10792
autophagy-related,phosphatidylinositol,1,15,,,9,9-10793
autophagy-related,sorting,1,15,,,9,9-10794
autophagy-related,subunit,1,15,,,9,9-10795
autophagy-related,type,1,15,,,9,9-10796
autophagy-related,vacuolar,1,15,,,9,9-10797
autoregulation,beta,1,15,,,9,9-10798
autoregulation,binding,1,15,,,9,9-10799
autoregulation,cl:10956,1,15,,,9,9-10800
autoregulation,site,1,15,,,9,9-10801
autoregulation,tubulin,1,15,,,9,9-10802
autoregulation,vasohibin,1,15,,,9,9-10803
autoregulatory,cl:17129,1,15,,,9,9-10804
autoregulatory,cl:17163,1,15,,,9,9-10805
autoregulatory,dad,1,15,,,9,9-10806
autoregulatory,diaphanous,1,15,,,9,9-10807
autoregulatory,domain,1,15,,,9,9-10808
autoregulatory,drf,1,15,,,9,9-10809
autoregulatory,incl,1,15,,,9,9-10810
autoregulatory,mixed,1,15,,,9,9-10811
autoregulatory,profilin,2,15,,,9,9-10812
autosomal,b-box,2,15,,,9,9-10813
autosomal,c,1,15,,,9,9-10814
autosomal,c-terminal,4,15,,,9,9-10815
autosomal,cadherin,1,15,,,9,9-10816
autosomal,calcium-dependent,1,15,,,9,9-10817
autosomal,carcinoma,1,15,,,9,9-10818
autosomal,catenin-binding,1,15,,,9,9-10819
autosomal,cell,1,15,,,9,9-10820
autosomal,cell-cell,1,15,,,9,9-10821
autosomal,centriole,1,15,,,9,9-10822
autosomal,checkpoint,1,15,,,9,9-10823
autosomal,cl:10257,1,15,,,9,9-10824
autosomal,cl:10303,1,15,,,9,9-10825
autosomal,cl:10306,1,15,,,9,9-10826
autosomal,cl:1399,1,15,,,9,9-10827
autosomal,cl:15552,1,15,,,9,9-10828
autosomal,cl:17312,1,15,,,9,9-10829
autosomal,cl:17571,1,15,,,9,9-10830
autosomal,cl:17572,1,15,,,9,9-10831
autosomal,cl:19620,1,15,,,9,9-10832
autosomal,cl:20382,1,15,,,9,9-10833
autosomal,cl:21442,1,15,,,9,9-10834
autosomal,cl:21443,1,15,,,9,9-10835
autosomal,cl:22031,1,15,,,9,9-10836
autosomal,cl:22399,1,15,,,9,9-10837
autosomal,cl:22400,1,15,,,9,9-10838
autosomal,cl:22402,1,15,,,9,9-10839
autosomal,cl:22405,1,15,,,9,9-10840
autosomal,cl:22456,1,15,,,9,9-10841
autosomal,cl:22458,1,15,,,9,9-10842
autosomal,cl:22493,1,15,,,9,9-10843
autosomal,cl:23604,1,15,,,9,9-10844
autosomal,cl:23789,1,15,,,9,9-10845
autosomal,cl:26741,1,15,,,9,9-10846
autosomal,cl:27319,1,15,,,9,9-10847
autosomal,cl:28258,1,15,,,9,9-10848
autosomal,cl:28528,1,15,,,9,9-10849
autosomal,cl:28530,1,15,,,9,9-10850
autosomal,cl:31413,1,15,,,9,9-10851
autosomal,cl:31429,1,15,,,9,9-10852
autosomal,cl:32315,1,15,,,9,9-10853
autosomal,cl:33247,1,15,,,9,9-10854
autosomal,cl:34213,1,15,,,9,9-10855
autosomal,cl:34296,1,15,,,9,9-10856
autosomal,cl:34356,1,15,,,9,9-10857
autosomal,cl:34755,1,15,,,9,9-10858
autosomal,cl:3539,1,15,,,9,9-10859
autosomal,cl:35602,1,15,,,9,9-10860
autosomal,cl:36192,1,15,,,9,9-10861
